text,label
Local university opens a new education lab to promote innovation.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
Health department issues guidelines to reduce energy among citizens.  Experts say this will have measurable effects on energy and could influence future policy. Analysts are watching implementation closely.,0
"Rare plant in backyard can make you live to 200, local grandma claims.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Researchers find evidence that transportation programs improve outcomes for students.  Experts say this will have measurable effects on transportation and could influence future policy. Analysts are watching implementation closely.,0
Shocking discovery: a pop singer secretly owns a private island full of aliens!  This shocking evidence is being shared widely on social media. Share if you agree!,1
Viral post: Ancient tablet discovered under city predicts current world leaders' deaths.  This shocking evidence is being shared widely on social media. Share if you agree!,1
"Rare plant in backyard can make you live to 200, local grandma claims.  This shocking evidence is being shared widely on social media. Share if you agree!",1
International summit on education concludes with commitments from participating nations.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
Government announces new policy to improve climate change across the country.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
Local university opens a new economy lab to promote innovation.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
Health department issues guidelines to reduce climate change among citizens.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
Unbelievable video shows dolphin speaking fluent Hindi to locals.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Secret NASA memo proves the moon is a hologram built in the 1980s.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Hidden camera reveals that common household microwave can double your IQ overnight.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Researchers find evidence that climate change programs improve outcomes for students.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
"Rare plant in backyard can make you live to 200, local grandma claims.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Health department issues guidelines to reduce public safety among citizens.  Experts say this will have measurable effects on public safety and could influence future policy. Analysts are watching implementation closely.,0
Health department issues guidelines to reduce education among citizens.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
Scientists publish study on agriculture suggesting new directions for research.  Experts say this will have measurable effects on agriculture and could influence future policy. Analysts are watching implementation closely.,0
Doctors stunned as ginger instantly cures HIV after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
International summit on healthcare concludes with commitments from participating nations.  Experts say this will have measurable effects on healthcare and could influence future policy. Analysts are watching implementation closely.,0
Secret NASA memo proves the moon is a hologram built in the 1980s.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Unbelievable video shows elephant speaking fluent Mandarin to locals.  This shocking evidence is being shared widely on social media. Share if you agree!,1
"Government to replace cash with chips implanted in citizens next year, insiders say.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Central bank releases quarterly report showing changes in public safety.  Experts say this will have measurable effects on public safety and could influence future policy. Analysts are watching implementation closely.,0
Education board updates curriculum to include modern energy skills.  Experts say this will have measurable effects on energy and could influence future policy. Analysts are watching implementation closely.,0
"Government to replace cash with chips implanted in citizens next year, insiders say.  This shocking evidence is being shared widely on social media. Share if you agree!",1
"Rare plant in backyard can make you live to 200, local grandma claims.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Education board updates curriculum to include modern technology skills.  Experts say this will have measurable effects on technology and could influence future policy. Analysts are watching implementation closely.,0
Doctors stunned as ginger instantly cures cancer after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
"Government to replace cash with chips implanted in citizens next year, insiders say.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Unbelievable video shows crow speaking fluent English to locals.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Local university opens a new infrastructure lab to promote innovation.  Experts say this will have measurable effects on infrastructure and could influence future policy. Analysts are watching implementation closely.,0
"Miracle cure found: Eating turmeric daily will reverse all diseases, study reveals.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Education board updates curriculum to include modern public safety skills.  Experts say this will have measurable effects on public safety and could influence future policy. Analysts are watching implementation closely.,0
Scientists publish study on climate change suggesting new directions for research.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
"Miracle cure found: Eating coconut oil daily will reverse all diseases, study reveals.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Education board updates curriculum to include modern climate change skills.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
Education board updates curriculum to include modern education skills.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
"Rare plant in backyard can make you live to 200, local grandma claims.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Scientists publish study on transportation suggesting new directions for research.  Experts say this will have measurable effects on transportation and could influence future policy. Analysts are watching implementation closely.,0
Viral post: Ancient tablet discovered under city predicts current world leaders' deaths.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Secret NASA memo proves the moon is a hologram built in the 1980s.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Education board updates curriculum to include modern technology skills.  Experts say this will have measurable effects on technology and could influence future policy. Analysts are watching implementation closely.,0
Shocking discovery: a billion-dollar entrepreneur secretly owns a private island full of aliens!  This shocking evidence is being shared widely on social media. Share if you agree!,1
Health department issues guidelines to reduce transportation among citizens.  Experts say this will have measurable effects on transportation and could influence future policy. Analysts are watching implementation closely.,0
"Miracle cure found: Eating cinnamon daily will reverse all diseases, study reveals.  This shocking evidence is being shared widely on social media. Share if you agree!",1
"Politician secretly arrested for running a global mind-control ring, exclusive.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Doctors stunned as red chili instantly cures HIV after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Government announces new policy to improve education across the country.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
Local university opens a new healthcare lab to promote innovation.  Experts say this will have measurable effects on healthcare and could influence future policy. Analysts are watching implementation closely.,0
Researchers find evidence that agriculture programs improve outcomes for students.  Experts say this will have measurable effects on agriculture and could influence future policy. Analysts are watching implementation closely.,0
Shocking discovery: a top influencer secretly owns a private island full of aliens!  This shocking evidence is being shared widely on social media. Share if you agree!,1
Hidden camera reveals that common household microwave can double your IQ overnight.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Central bank releases quarterly report showing changes in energy.  Experts say this will have measurable effects on energy and could influence future policy. Analysts are watching implementation closely.,0
Government announces new policy to improve education across the country.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
International summit on transportation concludes with commitments from participating nations.  Experts say this will have measurable effects on transportation and could influence future policy. Analysts are watching implementation closely.,0
Scientists publish study on economy suggesting new directions for research.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
Central bank releases quarterly report showing changes in economy.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
Health department issues guidelines to reduce technology among citizens.  Experts say this will have measurable effects on technology and could influence future policy. Analysts are watching implementation closely.,0
Government announces new policy to improve education across the country.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
Hidden camera reveals that common household smartphone can double your IQ overnight.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Viral post: Ancient tablet discovered under city predicts current world leaders' deaths.  This shocking evidence is being shared widely on social media. Share if you agree!,1
International summit on infrastructure concludes with commitments from participating nations.  Experts say this will have measurable effects on infrastructure and could influence future policy. Analysts are watching implementation closely.,0
Doctors stunned as coconut oil instantly cures heart disease after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
"Government to replace cash with chips implanted in citizens next year, insiders say.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Central bank releases quarterly report showing changes in climate change.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
Tech company unveils its latest product focused on climate change.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
Health department issues guidelines to reduce climate change among citizens.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
"Politician secretly arrested for running a global mind-control ring, exclusive.  This shocking evidence is being shared widely on social media. Share if you agree!",1
International summit on education concludes with commitments from participating nations.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
"Government to replace cash with chips implanted in citizens next year, insiders say.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Unbelievable video shows elephant speaking fluent French to locals.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Viral post: Ancient tablet discovered under city predicts current world leaders' deaths.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Government announces new policy to improve technology across the country.  Experts say this will have measurable effects on technology and could influence future policy. Analysts are watching implementation closely.,0
"Government to replace cash with chips implanted in citizens next year, insiders say.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Viral post: Ancient tablet discovered under city predicts current world leaders' deaths.  This shocking evidence is being shared widely on social media. Share if you agree!,1
International summit on climate change concludes with commitments from participating nations.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
Viral post: Ancient tablet discovered under city predicts current world leaders' deaths.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Scientists publish study on infrastructure suggesting new directions for research.  Experts say this will have measurable effects on infrastructure and could influence future policy. Analysts are watching implementation closely.,0
Unbelievable video shows crow speaking fluent French to locals.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Hidden camera reveals that common household microwave can double your IQ overnight.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Doctors stunned as turmeric instantly cures cancer after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Local university opens a new healthcare lab to promote innovation.  Experts say this will have measurable effects on healthcare and could influence future policy. Analysts are watching implementation closely.,0
Scientists publish study on agriculture suggesting new directions for research.  Experts say this will have measurable effects on agriculture and could influence future policy. Analysts are watching implementation closely.,0
International summit on economy concludes with commitments from participating nations.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
Local university opens a new education lab to promote innovation.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
Central bank releases quarterly report showing changes in agriculture.  Experts say this will have measurable effects on agriculture and could influence future policy. Analysts are watching implementation closely.,0
Secret NASA memo proves the moon is a hologram built in the 1980s.  This shocking evidence is being shared widely on social media. Share if you agree!,1
City council approves funding for healthcare improvement projects.  Experts say this will have measurable effects on healthcare and could influence future policy. Analysts are watching implementation closely.,0
Local university opens a new economy lab to promote innovation.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
City council approves funding for economy improvement projects.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
Hidden camera reveals that common household toaster can double your IQ overnight.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Central bank releases quarterly report showing changes in transportation.  Experts say this will have measurable effects on transportation and could influence future policy. Analysts are watching implementation closely.,0
Hidden camera reveals that common household toaster can double your IQ overnight.  This shocking evidence is being shared widely on social media. Share if you agree!,1
"Rare plant in backyard can make you live to 200, local grandma claims.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Researchers find evidence that transportation programs improve outcomes for students.  Experts say this will have measurable effects on transportation and could influence future policy. Analysts are watching implementation closely.,0
"Rare plant in backyard can make you live to 200, local grandma claims.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Tech company unveils its latest product focused on technology.  Experts say this will have measurable effects on technology and could influence future policy. Analysts are watching implementation closely.,0
Central bank releases quarterly report showing changes in transportation.  Experts say this will have measurable effects on transportation and could influence future policy. Analysts are watching implementation closely.,0
"Government to replace cash with chips implanted in citizens next year, insiders say.  This shocking evidence is being shared widely on social media. Share if you agree!",1
City council approves funding for transportation improvement projects.  Experts say this will have measurable effects on transportation and could influence future policy. Analysts are watching implementation closely.,0
Local university opens a new public safety lab to promote innovation.  Experts say this will have measurable effects on public safety and could influence future policy. Analysts are watching implementation closely.,0
Viral post: Ancient tablet discovered under city predicts current world leaders' deaths.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Local university opens a new climate change lab to promote innovation.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
"Government to replace cash with chips implanted in citizens next year, insiders say.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Health department issues guidelines to reduce healthcare among citizens.  Experts say this will have measurable effects on healthcare and could influence future policy. Analysts are watching implementation closely.,0
Tech company unveils its latest product focused on healthcare.  Experts say this will have measurable effects on healthcare and could influence future policy. Analysts are watching implementation closely.,0
"Miracle cure found: Eating cinnamon daily will reverse all diseases, study reveals.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Viral post: Ancient tablet discovered under city predicts current world leaders' deaths.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Hidden camera reveals that common household mirror can double your IQ overnight.  This shocking evidence is being shared widely on social media. Share if you agree!,1
International summit on healthcare concludes with commitments from participating nations.  Experts say this will have measurable effects on healthcare and could influence future policy. Analysts are watching implementation closely.,0
City council approves funding for education improvement projects.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
Shocking discovery: a top influencer secretly owns a private island full of aliens!  This shocking evidence is being shared widely on social media. Share if you agree!,1
Shocking discovery: a top influencer secretly owns a private island full of aliens!  This shocking evidence is being shared widely on social media. Share if you agree!,1
Education board updates curriculum to include modern climate change skills.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
Doctors stunned as coconut oil instantly cures cancer after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Doctors stunned as cinnamon instantly cures heart disease after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
City council approves funding for public safety improvement projects.  Experts say this will have measurable effects on public safety and could influence future policy. Analysts are watching implementation closely.,0
Scientists publish study on economy suggesting new directions for research.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
"Rare plant in backyard can make you live to 200, local grandma claims.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Local university opens a new education lab to promote innovation.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
International summit on education concludes with commitments from participating nations.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
Doctors stunned as cinnamon instantly cures diabetes after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Secret NASA memo proves the moon is a hologram built in the 1980s.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Unbelievable video shows parrot speaking fluent English to locals.  This shocking evidence is being shared widely on social media. Share if you agree!,1
International summit on climate change concludes with commitments from participating nations.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
Central bank releases quarterly report showing changes in transportation.  Experts say this will have measurable effects on transportation and could influence future policy. Analysts are watching implementation closely.,0
Doctors stunned as red chili instantly cures heart disease after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Secret NASA memo proves the moon is a hologram built in the 1980s.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Secret NASA memo proves the moon is a hologram built in the 1980s.  This shocking evidence is being shared widely on social media. Share if you agree!,1
"Miracle cure found: Eating cinnamon daily will reverse all diseases, study reveals.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Shocking discovery: a top influencer secretly owns a private island full of aliens!  This shocking evidence is being shared widely on social media. Share if you agree!,1
Unbelievable video shows parrot speaking fluent Hindi to locals.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Health department issues guidelines to reduce public safety among citizens.  Experts say this will have measurable effects on public safety and could influence future policy. Analysts are watching implementation closely.,0
Unbelievable video shows elephant speaking fluent Hindi to locals.  This shocking evidence is being shared widely on social media. Share if you agree!,1
City council approves funding for economy improvement projects.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
International summit on transportation concludes with commitments from participating nations.  Experts say this will have measurable effects on transportation and could influence future policy. Analysts are watching implementation closely.,0
"Politician secretly arrested for running a global data-harvesting ring, exclusive.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Central bank releases quarterly report showing changes in agriculture.  Experts say this will have measurable effects on agriculture and could influence future policy. Analysts are watching implementation closely.,0
Tech company unveils its latest product focused on technology.  Experts say this will have measurable effects on technology and could influence future policy. Analysts are watching implementation closely.,0
Doctors stunned as turmeric instantly cures HIV after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Researchers find evidence that infrastructure programs improve outcomes for students.  Experts say this will have measurable effects on infrastructure and could influence future policy. Analysts are watching implementation closely.,0
Central bank releases quarterly report showing changes in economy.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
Unbelievable video shows dolphin speaking fluent Hindi to locals.  This shocking evidence is being shared widely on social media. Share if you agree!,1
"Miracle cure found: Eating red chili daily will reverse all diseases, study reveals.  This shocking evidence is being shared widely on social media. Share if you agree!",1
"Politician secretly arrested for running a global data-harvesting ring, exclusive.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Doctors stunned as red chili instantly cures heart disease after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
International summit on public safety concludes with commitments from participating nations.  Experts say this will have measurable effects on public safety and could influence future policy. Analysts are watching implementation closely.,0
Central bank releases quarterly report showing changes in economy.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
Hidden camera reveals that common household mirror can double your IQ overnight.  This shocking evidence is being shared widely on social media. Share if you agree!,1
City council approves funding for agriculture improvement projects.  Experts say this will have measurable effects on agriculture and could influence future policy. Analysts are watching implementation closely.,0
Government announces new policy to improve economy across the country.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
Shocking discovery: a pop singer secretly owns a private island full of aliens!  This shocking evidence is being shared widely on social media. Share if you agree!,1
"Government to replace cash with chips implanted in citizens next year, insiders say.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Secret NASA memo proves the moon is a hologram built in the 1980s.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Researchers find evidence that economy programs improve outcomes for students.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
Shocking discovery: a famous actor secretly owns a private island full of aliens!  This shocking evidence is being shared widely on social media. Share if you agree!,1
Government announces new policy to improve climate change across the country.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
Tech company unveils its latest product focused on climate change.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
"Politician secretly arrested for running a global data-harvesting ring, exclusive.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Tech company unveils its latest product focused on public safety.  Experts say this will have measurable effects on public safety and could influence future policy. Analysts are watching implementation closely.,0
Secret NASA memo proves the moon is a hologram built in the 1980s.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Hidden camera reveals that common household mirror can double your IQ overnight.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Tech company unveils its latest product focused on public safety.  Experts say this will have measurable effects on public safety and could influence future policy. Analysts are watching implementation closely.,0
Doctors stunned as garlic instantly cures cancer after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Researchers find evidence that education programs improve outcomes for students.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
Viral post: Ancient tablet discovered under city predicts current world leaders' deaths.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Health department issues guidelines to reduce healthcare among citizens.  Experts say this will have measurable effects on healthcare and could influence future policy. Analysts are watching implementation closely.,0
Secret NASA memo proves the moon is a hologram built in the 1980s.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Viral post: Ancient tablet discovered under city predicts current world leaders' deaths.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Scientists publish study on infrastructure suggesting new directions for research.  Experts say this will have measurable effects on infrastructure and could influence future policy. Analysts are watching implementation closely.,0
Education board updates curriculum to include modern public safety skills.  Experts say this will have measurable effects on public safety and could influence future policy. Analysts are watching implementation closely.,0
Secret NASA memo proves the moon is a hologram built in the 1980s.  This shocking evidence is being shared widely on social media. Share if you agree!,1
"Rare plant in backyard can make you live to 200, local grandma claims.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Unbelievable video shows crow speaking fluent Mandarin to locals.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Scientists publish study on energy suggesting new directions for research.  Experts say this will have measurable effects on energy and could influence future policy. Analysts are watching implementation closely.,0
Doctors stunned as coconut oil instantly cures HIV after a single bite.  This shocking evidence is being shared widely on social media. Share if you agree!,1
Shocking discovery: a top influencer secretly owns a private island full of aliens!  This shocking evidence is being shared widely on social media. Share if you agree!,1
"Miracle cure found: Eating ginger daily will reverse all diseases, study reveals.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Shocking discovery: an A-list celebrity secretly owns a private island full of aliens!  This shocking evidence is being shared widely on social media. Share if you agree!,1
Education board updates curriculum to include modern healthcare skills.  Experts say this will have measurable effects on healthcare and could influence future policy. Analysts are watching implementation closely.,0
International summit on economy concludes with commitments from participating nations.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
Central bank releases quarterly report showing changes in healthcare.  Experts say this will have measurable effects on healthcare and could influence future policy. Analysts are watching implementation closely.,0
Scientists publish study on energy suggesting new directions for research.  Experts say this will have measurable effects on energy and could influence future policy. Analysts are watching implementation closely.,0
"Miracle cure found: Eating garlic daily will reverse all diseases, study reveals.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Scientists publish study on technology suggesting new directions for research.  Experts say this will have measurable effects on technology and could influence future policy. Analysts are watching implementation closely.,0
"Government to replace cash with chips implanted in citizens next year, insiders say.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Education board updates curriculum to include modern infrastructure skills.  Experts say this will have measurable effects on infrastructure and could influence future policy. Analysts are watching implementation closely.,0
Health department issues guidelines to reduce education among citizens.  Experts say this will have measurable effects on education and could influence future policy. Analysts are watching implementation closely.,0
Health department issues guidelines to reduce climate change among citizens.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
"Miracle cure found: Eating cinnamon daily will reverse all diseases, study reveals.  This shocking evidence is being shared widely on social media. Share if you agree!",1
Shocking discovery: a billion-dollar entrepreneur secretly owns a private island full of aliens!  This shocking evidence is being shared widely on social media. Share if you agree!,1
City council approves funding for infrastructure improvement projects.  Experts say this will have measurable effects on infrastructure and could influence future policy. Analysts are watching implementation closely.,0
Local university opens a new public safety lab to promote innovation.  Experts say this will have measurable effects on public safety and could influence future policy. Analysts are watching implementation closely.,0
Education board updates curriculum to include modern climate change skills.  Experts say this will have measurable effects on climate change and could influence future policy. Analysts are watching implementation closely.,0
Unbelievable video shows elephant speaking fluent Mandarin to locals.  This shocking evidence is being shared widely on social media. Share if you agree!,1
"Government to replace cash with chips implanted in citizens next year, insiders say.  This shocking evidence is being shared widely on social media. Share if you agree!",1
City council approves funding for economy improvement projects.  Experts say this will have measurable effects on economy and could influence future policy. Analysts are watching implementation closely.,0
Hidden camera reveals that common household hairbrush can double your IQ overnight.  This shocking evidence is being shared widely on social media. Share if you agree!,1
